;Term;Occurrences;Stopword
france;france;4425;
bce;bce;2360;
fed;fed;1769;
aujourd;aujoud'hui;1675;
ukraine;ukraine;1570;
covid;covid;1543;
europe;europe;1434;
etats;état;1389;
insee;insee;1345;
pib;pib;1022;
er;er;856;
bruno;bruno;809;
etat;état;785;
macron;macron;627;
smic;smic;596;
russie;russie;595;
bercy;bercy;585;
lagarde;lagarde;580;
christine;christine;562;
tandis;tandis;540;
emmanuel;emmanuel;525;
biden;biden;523;
powell;powel;501;
leclerc;leclerc;499;
fmi;fmi;470;
philippe;philippe;469;
tarifaire;tarifaire;420;
françois;françois;418;
afp;afp;414;
espagne;Espagne;399;
jerome;jerome;357;
joe;joe;343;
salariales;salarial;324;
italie;Italie;316;
michel;michel;302;
inflationnistes;inflationniste;301;
tva;tva;281;
jacente;jacent;276;
pme;pme;256;
pdg;pdg;253;
ue;ue;229;
lidl;lidl;223;
street;street;217;
eurostat;eurostat;210;
turquie;turquie;209;
economie;économie;205;
christophe;christophe;195;
cgt;cgt;189;
confinements;confinement;189;
wall;wall;184;
alexandre;alexandre;183;
patrick;patrick;178;
émergents;émergent;176;
paul;paul;176;
nicolas;nicolas;171;
denis;denis;169;
tarifaires;tarifaire;168;
cac;cac;166;
ndlr;ndlr;162;
galhau;galhau;161;
mathieu;mathieu;161;
villeroy;villeroy;161;
bank;bank;160;
intermarché;intermarché;158;
dominique;dominique;156;
erdogan;erdogan;153;
ocde;ocde;151;
auchan;auchan;150;
economics;economics;150;
ofce;ofce;150;
laurent;laurent;148;
bruxelles;bruxelles;147;
ex;ex;147;
grégoire;grégoire;147;
of;of;145;
asie;asie;143;
olivia;olivie;141;
anne;anne;138;
eric;eric;135;
week;week;135;
mdd;mdd;133;
boe;boe;132;
déflation;déflation;132;
renchérissement;rencher;129;
stéphane;stéphane;128;
ores;ore;126;
revalorisations;revalorisation;124;
egalim;egalim;120;
géopolitiques;géopolitique;120;
thierry;thierry;119;
indexés;indexé;118;
ing;ing;118;
bnp;bnp;116;
bompard;bompard;114;
end;end;114;
cœur;cœur;113;
iri;iri;113;
londres;londres;113;
danone;danone;112;
nestlé;nestle;110;
renouvelables;renouvelable;110;
frédéric;frédéric;109;
cfdt;cfdt;108;
lr;lr;108;
the;the;108;
kantar;kantar;107;
paribas;paribas;107;
washington;washington;104;
bretagne;bretagne;103;
vincent;vincent;101;
cpi;cpi;100;
désinflation;désinflation;100;
rhin;rhin;100;
édouard;édouard;99;
luc;luc;99;
surendettement;surendettement;99;
elisabeth;élisabeth;98;
élisabeth;élisabeth;98;
instar;instar;97;
œuvre;œuvre;97;
éric;éric;96;
sébastien;sébastien;96;
mayer;mayer;95;
trump;trump;95;
charles;charles;94;
david;david;93;
grèce;grèce;93;
aldi;aldi;92;
emily;emily;92;
pouget;pouget;92;
jérôme;jérôme;91;
christian;christian;90;
loire;loire;90;
fo;fo;88;
hongrie;hongrie;88;
moscou;moscou;88;
sncf;sncf;88;
edouard;edouard;87;
goulets;goulet;87;
indexées;indexé;87;
afrique;afrique;86;
didier;didier;86;
matignon;matignon;86;
reuters;reuters;86;
medef;medef;85;
lyon;lyon;84;
totalenergies;totalénergies;84;
twitter;twitter;82;
allianz;allianz;81;
ipch;ipch;81;
unilever;unilever;81;
valérie;valerie;81;
amazon;amazon;80;
antoine;antoine;80;
structurelles;structurel;80;
tablent;tabler;80;
edf;edf;79;
sunak;sunak;79;
bertrand;bertrand;78;
gabriel;gabriel;78;
schelcher;schelcher;78;
cheffe;chef;77;
castex;castex;76;
irl;irl;76;
macroéconomique;macroéconomie;76;
nathalie;nathalie;76;
oise;oise;76;
attractivité;attractivité;75;
kg;kg;75;
montpellier;montpellier;75;
made;made;74;
up;up;74;
vladimir;vladimir;74;
artus;artus;73;
pologne;pologne;73;
portugal;portugal;73;
circana;circana;72;
crevel;crevel;72;
surcoûts;surcoût;72;
tpe;tpe;72;
disparités;disparité;71;
ferrand;ferrand;71;
macroéconomiques;macroéconomie;71;
yves;yves;71;
bernard;bernard;70;
aussiinflation;inflation;69;
benoit;benoit;69;
nao;nao;69;
nupes;nupes;69;
rsa;rsa;69;
yellen;yellen;69;
franck;franck;68;
natixis;natixis;68;
