"";"Term";"Occurrences";"Stopword"
"france";"franc";4582;""
"bce";"bce";2493;""
"fed";"fed";1855;""
"aujourd";"aujourd";1670;""
"ukraine";"ukrain";1624;""
"covid";"covid";1574;""
"europe";"europ";1493;""
"etats";"etat";1460;""
"insee";"inse";1359;""
"pib";"pib";1012;""
"er";"er";883;""
"bruno";"bruno";823;""
"etat";"etat";790;""
"macron";"macron";654;""
"bercy";"bercy";618;""
"smic";"smic";613;""
"lagarde";"lagard";608;""
"russie";"russ";606;""
"christine";"christin";589;""
"biden";"biden";546;""
"tandis";"tand";542;""
"emmanuel";"emmanuel";539;""
"leclerc";"leclerc";513;""
"powell";"powel";507;""
"fmi";"fmi";499;""
"philippe";"philipp";473;""
"françois";"françois";421;""
"espagne";"espagn";418;""
"tarifaire";"tarifair";417;""
"afp";"afp";410;""
"jerome";"jerom";359;""
"joe";"jo";356;""
"salariales";"salarial";330;""
"italie";"ital";313;""
"michel";"michel";307;""
"inflationnistes";"inflation";302;""
"tva";"tva";281;""
"jacente";"jacent";279;""
"pme";"pme";263;""
"pdg";"pdg";252;""
"turquie";"turqu";242;""
"lidl";"lidl";235;""
"ue";"ue";233;""
"street";"street";225;""
"economie";"econom";210;""
"eurostat";"eurostat";203;""
"confinements";"confin";198;""
"christophe";"christoph";196;""
"wall";"wall";193;""
"cgt";"cgt";184;""
"alexandre";"alexandr";183;""
"denis";"den";181;""
"émergents";"émergent";180;""
"nicolas";"nicol";180;""
"patrick";"patrick";180;""
"paul";"paul";176;""
"cac";"cac";173;""
"tarifaires";"tarifair";170;""
"erdogan";"erdogan";167;""
"bank";"bank";164;""
"galhau";"galhau";163;""
"villeroy";"villeroy";163;""
"dominique";"domin";162;""
"ndlr";"ndlr";160;""
"intermarché";"intermarch";158;""
"mathieu";"mathieu";158;""
"bruxelles";"bruxel";154;""
"ocde";"ocde";154;""
"auchan";"auchan";153;""
"ex";"ex";150;""
"ofce";"ofce";149;""
"economics";"economic";148;""
"laurent";"laurent";148;""
"grégoire";"grégoir";147;""
"of";"of";145;""
"asie";"asi";144;""
"eric";"eric";144;""
